C, нф&25&33,2&47,5&57&67,4&82,1&99,6&&&&&&&
f, кГц&31,5&27,3&23&21,1&19,4&17,6&16&&&&&&&
U_C, В&2,6&2,33&2,02&1,87&1,75&1,6&1,48&&&&&&&
E, В&0,1&0,1&0,1&0,1&0,1&0,1&0,1&&&&&&&0,001005585730991
L, Гн&0,00102112555951&0,001023709858174&0,001008070675976&0,000998160769808&0,000998566303815&0,000996028511901&0,000993438437758&&&&&&&
\delta L&6,48333688577509E-06&7,49970592068693E-06&8,76583196500783E-06&9,46123952424268E-06&1,02944979774691E-05&1,13185058170526E-05&1,2417980471978E-05&&&&&&&
R_{\Sigma}, Ом&7,69230769230769&7,44860659335433&7,18293316940606&7,08306073296815&6,96036481620137&6,89776570650079&6,77031094642063&&&&&&&
R_L, Ом&4,24&4,00&3,73&3,63&3,51&3,45&3,32&&&&&&&
\delta R_L&0,05&0,05&0,05&0,05&0,05&0,06&0,06&&&&&&&
\sqrt f&177,482393492988&165,227116418583&151,657508881031&145,25839046334&139,283882771841&132,664991614216&126,491106406735&&&&&&&
\delta \sqrt f&0,281718084909505&0,302613766334401&0,329690236697893&0,344214195410757&0,358979079308869&0,376889180722204&0,395284707521047&&&&&&&
Q&26&23,3&20,2&18,7&17,5&16&14,8&&&&&&&
\rho, Ом&200&173,552533625156&145,095250022002&132,453235706504&121,806384283524&110,364251304013&100,200602007025&&&&&&&
R_s_max, Ом&0,2&0,173552533625156&0,145095250022002&0,132453235706504&0,121806384283524&0,110364251304013&0,100200602007025&&&&&&&
I, мА&13&13,4253297911076&13,9218892396111&14,1181903939563&14,3670630262417&14,4974480512951&14,7703703406516&&&&&&&
